,sex,age,address,famsize,Pstatus,Medu,Fedu,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G3,school_GP,school_MS,Mjob_at_home,Mjob_health,Mjob_other,Mjob_services,Mjob_teacher,Fjob_at_home,Fjob_health,Fjob_other,Fjob_services,Fjob_teacher,reason_course,reason_home,reason_other,reason_reputation,guardian_father,guardian_mother,guardian_other
21,1,15,1,0,1,4,4,1,1,0,0,1,1,0,1,1,1,0,5,4,2,1,1,5,0,12,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
22,1,16,1,1,1,4,2,1,2,0,0,0,0,1,1,1,1,0,4,5,1,1,3,5,0,14,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
23,1,16,1,1,1,2,2,2,2,0,0,1,0,1,1,1,1,0,5,4,4,2,4,5,2,10,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
24,0,15,0,0,1,2,4,1,3,0,1,1,0,1,1,1,1,0,4,3,2,1,1,5,2,10,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
25,0,16,1,0,1,2,2,1,1,0,0,1,0,0,0,1,1,0,1,2,2,1,3,5,6,12,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
26,1,15,1,0,1,2,2,1,1,0,0,1,0,0,1,1,1,0,4,2,2,1,2,5,8,12,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
27,1,15,1,0,1,4,2,1,1,0,0,0,0,0,1,1,1,0,2,2,4,2,4,1,0,11,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
28,1,16,1,1,0,3,4,1,2,0,1,1,1,1,1,1,1,0,5,3,3,1,1,5,2,13,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
29,1,16,1,0,1,4,4,1,2,0,0,1,1,1,1,1,1,1,4,4,5,5,5,5,4,12,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
30,1,15,1,0,1,4,4,1,2,0,0,1,1,0,0,1,1,0,5,4,2,3,4,5,0,11,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
31,1,15,1,0,1,4,4,2,2,0,0,1,0,1,1,1,1,0,4,3,1,1,1,5,2,15,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0
32,1,15,0,0,1,4,3,1,2,0,0,1,0,1,1,1,1,1,4,5,2,1,1,5,0,15,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
33,1,15,1,1,1,3,3,1,2,0,0,0,0,1,0,1,1,0,5,3,2,1,1,2,0,12,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
34,1,16,1,0,1,3,2,1,1,0,0,1,0,0,0,1,1,0,5,4,3,1,1,5,4,12,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
35,0,15,1,0,1,2,3,2,1,0,0,1,0,1,1,1,0,0,3,5,1,1,1,5,4,11,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0
36,1,15,1,1,1,4,3,1,3,0,0,1,0,1,1,1,1,0,5,4,3,1,1,4,0,14,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
37,1,16,0,0,0,4,4,2,3,0,0,1,0,1,1,1,1,1,2,4,3,1,1,5,4,13,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
38,0,15,0,0,1,3,4,1,3,0,1,1,0,1,1,1,1,0,4,3,2,1,1,5,2,12,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
39,0,15,0,0,1,2,2,1,1,0,1,1,0,1,1,1,0,0,4,3,1,1,1,2,8,12,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
40,0,16,1,1,1,2,2,2,2,0,0,1,0,1,0,1,1,1,3,3,3,1,2,3,16,10,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
41,1,15,1,1,1,4,4,1,1,0,0,1,0,0,0,1,1,1,5,4,3,2,4,5,8,11,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
42,1,15,1,0,1,4,4,1,2,0,0,1,0,1,1,1,1,0,4,3,3,1,1,5,0,15,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0
43,1,15,1,0,1,2,2,1,1,0,1,1,0,0,1,1,1,0,5,4,1,1,1,1,0,10,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
44,0,16,1,1,1,2,2,2,2,1,1,0,0,1,1,1,1,0,4,3,3,2,2,5,14,11,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
45,0,15,1,1,0,4,3,1,2,0,1,1,1,1,1,1,1,1,5,2,2,1,1,5,4,11,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
46,0,16,1,1,0,3,3,1,2,0,0,1,0,0,1,1,1,0,2,3,5,1,4,3,6,13,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
47,1,16,1,0,1,4,3,1,4,0,0,0,0,1,1,1,1,0,4,2,2,1,1,2,2,17,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
48,1,15,1,0,1,4,2,1,2,0,0,1,0,0,1,1,0,0,4,3,3,2,2,5,4,13,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
49,0,15,1,0,1,4,4,1,2,0,1,1,0,1,0,1,1,0,4,4,4,1,1,3,2,12,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0
50,0,16,1,1,1,2,2,3,2,0,0,1,0,0,1,1,1,0,4,3,3,2,3,4,0,13,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
51,0,15,1,1,1,4,2,1,2,0,0,1,0,0,1,1,1,0,4,3,3,1,1,5,0,16,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
52,1,15,1,1,0,4,2,2,1,0,0,0,0,0,1,1,0,0,5,5,5,3,4,5,4,9,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
53,0,15,1,0,1,4,4,1,1,0,1,1,0,0,1,1,1,0,3,3,4,2,3,5,0,12,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
54,0,15,1,1,0,3,3,1,1,0,0,0,0,0,1,1,1,0,5,3,4,4,4,1,0,13,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
55,0,16,1,0,0,2,1,1,2,0,0,0,0,1,1,1,1,1,5,3,4,1,1,2,2,12,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
56,0,15,1,0,0,4,3,1,2,0,0,1,0,1,1,1,1,0,4,3,2,1,1,1,0,15,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0
57,1,15,1,0,1,4,4,1,2,0,0,1,0,1,1,1,0,0,3,2,2,1,1,5,8,16,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0
58,1,15,1,1,1,1,2,1,2,0,1,1,0,1,1,1,1,0,4,3,2,1,1,5,0,14,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
59,0,16,1,0,1,4,2,1,2,0,0,1,1,0,1,1,1,0,4,2,3,1,1,5,2,16,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
60,0,16,0,0,1,4,4,1,2,0,0,1,0,1,1,1,0,0,2,4,4,2,3,4,0,16,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
61,0,16,1,0,1,1,1,4,1,0,1,1,0,1,0,1,1,1,5,5,5,5,5,5,0,16,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
62,0,16,1,1,1,1,2,1,2,0,1,0,0,1,1,1,1,0,4,4,3,1,1,1,0,10,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0
63,0,16,1,0,1,4,3,1,3,0,1,1,0,1,1,1,1,0,3,4,4,2,4,4,0,13,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
64,0,15,1,1,1,4,3,1,2,0,1,0,0,1,1,1,1,1,4,4,4,2,4,2,0,12,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0
65,0,16,1,1,1,4,3,3,2,0,0,1,0,1,1,1,1,0,5,4,3,1,2,1,2,16,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
66,1,15,1,0,0,4,4,1,4,0,0,1,0,1,0,1,1,1,1,3,3,5,5,3,0,12,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
67,0,16,1,0,1,3,1,1,4,0,1,1,0,0,1,1,1,0,4,3,3,1,2,5,0,10,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
68,0,15,0,1,1,2,2,2,2,0,1,1,0,0,1,1,1,0,4,1,3,1,3,4,0,11,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
69,0,15,0,1,1,3,1,2,4,0,0,1,0,0,0,1,1,0,4,4,2,2,3,3,6,15,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0
70,1,16,1,0,1,3,1,2,4,0,0,1,0,0,1,1,1,0,4,3,2,1,1,5,2,11,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0
71,1,15,1,0,1,4,2,1,4,0,0,0,0,0,1,1,1,0,3,3,3,1,1,3,0,10,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
72,0,15,0,0,1,1,1,1,2,0,1,1,0,0,0,1,1,1,3,3,4,2,4,5,2,11,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
73,1,16,1,0,1,3,1,1,1,0,0,0,0,1,1,1,0,0,5,3,2,2,2,5,0,14,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
74,0,16,1,0,1,3,3,1,2,0,1,1,0,1,1,1,1,0,4,3,3,2,4,5,4,11,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
75,1,15,1,0,1,4,3,1,2,0,0,1,0,1,1,1,1,0,4,3,3,2,3,5,0,11,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
76,1,15,1,0,1,4,0,2,4,0,0,0,0,1,1,1,1,0,3,4,3,1,1,1,0,11,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
77,0,16,1,0,1,2,2,1,4,0,0,0,0,0,1,1,1,1,5,2,3,1,3,3,1,13,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
78,1,17,1,0,1,2,1,2,1,3,1,1,0,1,1,0,1,0,4,5,1,1,1,3,0,10,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
79,0,16,1,0,1,3,4,1,2,0,0,1,0,0,1,1,1,0,2,4,3,1,2,3,14,11,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
80,1,15,1,0,1,2,3,1,1,0,1,1,0,1,0,1,1,1,3,2,2,1,3,3,0,12,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0
81,1,15,1,0,1,2,3,1,3,0,1,0,0,0,0,1,1,0,5,3,2,1,2,5,2,9,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
82,0,15,1,1,1,3,2,1,2,0,0,1,0,0,1,1,1,0,4,4,4,1,1,5,4,11,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
83,1,15,1,1,1,2,2,2,2,0,0,0,1,1,1,1,1,0,5,3,3,1,3,4,2,13,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
84,0,15,1,0,1,1,1,1,2,0,0,1,0,1,0,1,1,0,4,3,2,2,3,4,2,12,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
85,0,15,1,0,1,4,4,2,2,0,0,0,0,0,1,1,1,1,4,4,4,2,3,5,4,12,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0
86,0,16,1,1,1,2,2,1,2,0,0,1,0,0,1,1,0,0,4,3,4,1,2,2,6,11,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
87,0,15,1,0,1,4,2,1,3,0,0,1,0,1,1,1,1,0,5,3,3,1,3,1,4,15,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
88,1,16,1,0,1,2,2,2,2,0,0,0,0,1,0,1,1,0,4,4,2,1,1,3,6,11,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0
89,1,16,1,1,0,4,4,1,2,0,0,1,0,0,1,1,0,0,4,1,3,3,5,5,6,10,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0
90,0,16,1,0,1,3,3,1,3,0,0,1,0,0,1,1,1,1,4,3,3,1,3,4,2,11,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
91,0,15,1,0,1,4,3,1,1,0,0,0,0,1,1,1,1,0,4,5,5,1,3,1,6,13,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
92,0,16,1,1,1,3,1,1,2,0,1,1,0,0,1,1,0,0,3,3,3,2,3,2,0,12,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
93,0,16,1,0,1,4,2,2,2,0,0,1,0,1,1,1,1,0,5,3,3,1,1,1,2,14,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
94,1,15,1,1,1,2,2,1,4,0,0,1,0,1,1,1,1,0,4,3,4,1,1,4,2,12,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0
95,0,15,0,0,1,1,1,2,4,0,1,1,1,1,1,1,1,0,3,1,2,1,1,1,4,13,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
96,1,16,0,0,1,4,3,2,1,0,1,1,1,1,0,1,1,0,3,3,3,1,1,4,6,11,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
97,0,16,1,0,1,2,1,1,2,0,0,1,0,0,1,1,0,1,4,3,5,1,1,5,0,12,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
98,0,16,1,0,1,4,4,1,1,0,0,0,0,1,0,1,1,0,5,3,4,1,2,1,4,13,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
99,0,16,1,0,1,4,3,1,3,0,1,1,0,0,1,1,1,0,5,3,5,1,1,3,2,13,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
100,1,16,1,0,1,4,4,1,1,0,1,1,0,1,1,1,1,0,4,5,5,5,5,4,12,8,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
101,1,16,1,0,1,4,4,1,3,0,0,1,0,1,1,1,1,1,4,4,3,1,1,4,0,16,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0
102,1,15,1,0,1,4,4,1,1,0,0,1,1,1,0,1,1,0,5,3,3,1,1,5,2,12,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
103,0,15,1,0,1,3,2,2,2,0,1,1,0,0,1,1,1,0,4,3,5,1,1,2,16,10,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
104,1,15,1,0,0,3,4,1,2,0,0,1,0,1,1,1,1,0,5,4,4,1,1,1,0,16,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
105,0,15,1,0,0,3,3,1,4,0,1,0,0,0,1,1,0,0,4,3,3,1,1,4,10,10,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0
106,0,15,1,0,1,2,2,1,4,0,1,1,0,0,1,1,1,0,5,1,2,1,1,3,4,10,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
107,1,16,1,0,1,3,3,1,3,0,0,1,0,1,1,1,1,0,5,3,3,1,1,5,4,14,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
108,1,15,0,0,1,4,4,4,4,0,0,1,0,1,1,1,1,1,1,3,5,3,5,1,8,11,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
109,0,16,1,1,1,4,4,1,3,0,0,1,0,1,1,1,1,1,5,4,5,1,1,4,2,14,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
110,1,15,1,1,0,4,4,1,1,0,0,0,0,1,1,1,1,0,5,5,3,1,1,4,4,14,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
111,0,16,0,0,1,3,3,1,3,0,1,1,0,1,1,1,1,0,4,1,2,1,1,2,4,11,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0
112,0,16,1,0,1,2,2,1,2,1,1,0,0,1,1,1,1,0,3,1,2,1,1,5,12,10,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
113,1,15,1,1,1,4,2,1,1,0,0,0,0,0,1,1,1,0,3,5,2,1,1,3,10,18,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
114,1,15,0,0,1,2,1,1,2,0,0,0,0,1,1,1,1,1,5,4,2,1,1,5,4,10,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
115,1,16,1,0,1,4,4,1,2,0,0,1,0,1,1,1,1,0,5,4,4,1,2,5,6,14,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0
116,1,15,1,0,1,4,4,2,2,0,0,1,0,1,1,1,0,0,4,4,3,1,1,2,4,16,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0
117,1,16,1,0,1,3,3,2,1,0,0,0,0,1,1,1,1,0,5,4,2,1,1,5,6,15,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
118,1,17,0,0,1,1,3,3,2,1,0,1,0,1,1,1,1,0,5,2,4,1,4,5,14,11,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
119,1,15,1,0,1,3,4,1,1,0,0,0,0,0,1,1,1,0,3,4,3,1,2,4,2,14,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0
120,0,15,1,0,1,1,2,1,2,0,0,0,0,0,0,1,1,0,3,2,3,1,2,1,0,14,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
121,1,15,1,0,1,2,2,1,4,0,0,1,0,1,1,1,1,0,5,5,4,1,2,5,6,13,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
122,0,16,1,1,1,2,4,2,2,0,0,1,0,1,1,1,1,1,4,2,2,1,2,5,2,13,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
123,1,16,1,0,1,4,4,1,1,0,0,1,0,1,1,1,1,0,3,4,4,1,4,5,4,13,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
124,0,16,1,0,1,2,2,1,2,0,0,0,0,0,1,1,1,1,5,4,4,1,1,5,0,11,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
125,1,15,1,0,1,3,4,1,1,0,1,0,0,0,1,1,1,0,5,5,5,3,2,5,2,9,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
126,0,15,1,1,0,3,4,1,2,0,1,0,0,1,1,1,1,1,5,3,2,1,1,1,0,11,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
127,0,19,1,0,1,0,1,1,2,2,0,1,0,0,0,0,0,0,3,4,2,1,1,5,0,11,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
128,1,16,0,0,1,4,4,1,1,0,0,0,0,1,1,1,1,0,3,5,5,2,5,4,8,15,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
129,1,16,1,0,1,2,3,2,3,0,0,1,0,0,0,1,1,1,3,2,3,2,2,1,4,13,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
130,0,15,0,0,1,3,4,2,3,0,0,1,0,0,1,1,1,1,4,2,2,2,2,5,0,12,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0
131,0,18,1,0,1,2,1,1,2,3,0,1,0,1,1,0,1,1,5,4,5,1,3,5,10,8,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
132,0,17,1,1,0,2,1,3,1,0,0,1,0,0,1,1,1,0,3,2,2,1,2,5,8,11,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
133,0,15,1,0,1,1,1,3,1,0,0,1,0,1,0,1,1,1,4,3,3,1,2,4,6,13,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
134,0,17,1,1,1,2,2,1,1,0,0,1,0,0,1,1,1,1,3,4,4,1,3,5,2,12,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
135,0,16,1,0,0,3,4,1,1,0,0,0,0,0,1,1,1,0,3,2,1,1,4,5,12,14,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
136,1,16,1,0,1,2,1,4,1,0,0,0,0,0,1,1,0,0,3,2,1,1,1,2,4,11,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
137,0,16,1,0,0,2,2,1,1,1,0,0,0,0,1,1,0,0,5,3,4,1,1,5,12,11,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
138,1,15,0,0,1,3,4,4,2,0,0,1,0,0,1,1,0,1,5,3,3,1,1,5,2,11,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
139,0,15,1,0,1,4,4,1,3,0,0,1,0,1,1,1,1,1,4,3,3,1,1,5,4,15,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
140,1,17,0,0,1,3,4,3,2,0,0,0,0,0,1,1,0,0,5,4,5,2,4,5,2,10,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
141,0,16,0,0,1,1,1,4,2,0,0,1,0,0,1,1,0,0,5,1,3,1,1,3,0,13,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
142,1,18,1,1,1,3,1,2,1,0,0,0,0,1,1,1,1,1,3,3,4,4,5,4,2,12,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
143,0,18,1,0,0,3,2,1,3,0,0,1,0,1,0,1,1,1,4,3,3,5,1,5,10,11,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
144,0,16,0,0,1,1,1,2,1,0,0,1,0,1,1,1,0,1,3,3,3,1,2,1,8,11,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
145,0,16,1,0,0,3,3,2,1,0,0,1,0,1,0,1,1,1,4,3,2,1,1,5,4,10,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
146,1,16,1,1,1,1,1,1,2,2,0,0,0,0,1,1,0,1,4,4,4,1,3,5,0,10,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
